task,fraction,seed,n,subset_seed,lora_loss,unilora_loss,gap,lora_path,unilora_path
sst2,0.05,0,3367,12345,0.23514195134131505,0.1610398628482861,0.07410208849302893,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.05/lora_r4_lr4e-4/seed_0/lora_sst2_roberta-large_lr0.001_seed0_p0.05.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.05/unilora_td23040/seed_0/unilora_sst2_roberta-large_lr0.001_seed0_p0.05.json
sst2,0.05,1,3367,12345,0.33505952846826403,0.17797792423516512,0.15708160423309891,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.05/lora_r4_lr4e-4/seed_1/lora_sst2_roberta-large_lr0.001_seed1_p0.05.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.05/unilora_td23040/seed_1/unilora_sst2_roberta-large_lr0.001_seed1_p0.05.json
sst2,0.05,2,3367,12345,0.28693809382717256,0.1546477948847626,0.13229029894240996,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.05/lora_r4_lr4e-4/seed_2/lora_sst2_roberta-large_lr0.001_seed2_p0.05.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.05/unilora_td23040/seed_2/unilora_sst2_roberta-large_lr0.001_seed2_p0.05.json
sst2,0.05,3,3367,12345,0.21028967809564034,0.22945940448802762,-0.019169726392387287,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.05/lora_r4_lr4e-4/seed_3/lora_sst2_roberta-large_lr0.001_seed3_p0.05.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.05/unilora_td23040/seed_3/unilora_sst2_roberta-large_lr0.001_seed3_p0.05.json
sst2,0.05,4,3367,12345,0.2130033672521157,0.18981627621854255,0.023187091033573137,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.05/lora_r4_lr4e-4/seed_4/lora_sst2_roberta-large_lr0.001_seed4_p0.05.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.05/unilora_td23040/seed_4/unilora_sst2_roberta-large_lr0.001_seed4_p0.05.json
sst2,0.1,0,6734,12345,0.1797813610423223,0.14552057986812933,0.034260781174192984,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.1/lora_r4_lr4e-4/seed_0/lora_sst2_roberta-large_lr0.001_seed0_p0.1.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.1/unilora_td23040/seed_0/unilora_sst2_roberta-large_lr0.001_seed0_p0.1.json
sst2,0.1,1,6734,12345,0.17261569380311162,0.1458858771449221,0.02672981665818952,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.1/lora_r4_lr4e-4/seed_1/lora_sst2_roberta-large_lr0.001_seed1_p0.1.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.1/unilora_td23040/seed_1/unilora_sst2_roberta-large_lr0.001_seed1_p0.1.json
sst2,0.1,2,6734,12345,0.19073124144675344,0.1629878760515047,0.027743365395248742,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.1/lora_r4_lr4e-4/seed_2/lora_sst2_roberta-large_lr0.001_seed2_p0.1.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.1/unilora_td23040/seed_2/unilora_sst2_roberta-large_lr0.001_seed2_p0.1.json
sst2,0.1,3,6734,12345,0.18122806400060654,0.15907893193486547,0.022149132065741067,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.1/lora_r4_lr4e-4/seed_3/lora_sst2_roberta-large_lr0.001_seed3_p0.1.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.1/unilora_td23040/seed_3/unilora_sst2_roberta-large_lr0.001_seed3_p0.1.json
sst2,0.1,4,6734,12345,0.1665462010673114,0.16402215997888042,0.0025240410884309894,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.1/lora_r4_lr4e-4/seed_4/lora_sst2_roberta-large_lr0.001_seed4_p0.1.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.1/unilora_td23040/seed_4/unilora_sst2_roberta-large_lr0.001_seed4_p0.1.json
sst2,0.25,0,16837,12345,0.13939019502140582,0.14659115988095955,-0.007200964859553738,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.25/lora_r4_lr4e-4/seed_0/lora_sst2_roberta-large_lr0.001_seed0_p0.25.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.25/unilora_td23040/seed_0/unilora_sst2_roberta-large_lr0.001_seed0_p0.25.json
sst2,0.25,1,16837,12345,0.13984610048854457,0.13011507031374744,0.009731030174797123,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.25/lora_r4_lr4e-4/seed_1/lora_sst2_roberta-large_lr0.001_seed1_p0.25.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.25/unilora_td23040/seed_1/unilora_sst2_roberta-large_lr0.001_seed1_p0.25.json
sst2,0.25,2,16837,12345,0.15553795639425516,0.13455658131611667,0.020981375078138492,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.25/lora_r4_lr4e-4/seed_2/lora_sst2_roberta-large_lr0.001_seed2_p0.25.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.25/unilora_td23040/seed_2/unilora_sst2_roberta-large_lr0.001_seed2_p0.25.json
sst2,0.25,3,16837,12345,0.12791479162738792,0.13203565593409752,-0.004120864306709604,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.25/lora_r4_lr4e-4/seed_3/lora_sst2_roberta-large_lr0.001_seed3_p0.25.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.25/unilora_td23040/seed_3/unilora_sst2_roberta-large_lr0.001_seed3_p0.25.json
sst2,0.25,4,16837,12345,0.13201120143224085,0.15242595245529497,-0.020414751023054123,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.25/lora_r4_lr4e-4/seed_4/lora_sst2_roberta-large_lr0.001_seed4_p0.25.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.25/unilora_td23040/seed_4/unilora_sst2_roberta-large_lr0.001_seed4_p0.25.json
sst2,0.5,0,33674,12345,0.12486739682831935,0.13220706066515828,-0.007339663836838928,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.5/lora_r4_lr4e-4/seed_0/lora_sst2_roberta-large_lr0.001_seed0_p0.5.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.5/unilora_td23040/seed_0/unilora_sst2_roberta-large_lr0.001_seed0_p0.5.json
sst2,0.5,1,33674,12345,0.13967269363014825,0.1245659545862249,0.015106739043923359,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.5/lora_r4_lr4e-4/seed_1/lora_sst2_roberta-large_lr0.001_seed1_p0.5.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.5/unilora_td23040/seed_1/unilora_sst2_roberta-large_lr0.001_seed1_p0.5.json
sst2,0.5,2,33674,12345,0.12951040134898253,0.13669430590899928,-0.007183904560016746,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.5/lora_r4_lr4e-4/seed_2/lora_sst2_roberta-large_lr0.001_seed2_p0.5.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.5/unilora_td23040/seed_2/unilora_sst2_roberta-large_lr0.001_seed2_p0.5.json
sst2,0.5,3,33674,12345,0.13699802443651216,0.12778648853834187,0.009211535898170281,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.5/lora_r4_lr4e-4/seed_3/lora_sst2_roberta-large_lr0.001_seed3_p0.5.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.5/unilora_td23040/seed_3/unilora_sst2_roberta-large_lr0.001_seed3_p0.5.json
sst2,0.5,4,33674,12345,0.13538503340844596,0.1361339801390256,-0.0007489467305796527,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.5/lora_r4_lr4e-4/seed_4/lora_sst2_roberta-large_lr0.001_seed4_p0.5.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p0.5/unilora_td23040/seed_4/unilora_sst2_roberta-large_lr0.001_seed4_p0.5.json
sst2,1.0,0,67349,12345,0.13664077445199446,0.12536275160631963,0.011278022845674834,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p1/lora_r4_lr4e-4/seed_0/lora_sst2_roberta-large_lr0.001_seed0.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p1/unilora_td23040/seed_0/unilora_sst2_roberta-large_lr0.001_seed0.json
sst2,1.0,1,67349,12345,0.12623538219902133,0.1294694109154599,-0.003234028716438575,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p1/lora_r4_lr4e-4/seed_1/lora_sst2_roberta-large_lr0.001_seed1.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p1/unilora_td23040/seed_1/unilora_sst2_roberta-large_lr0.001_seed1.json
sst2,1.0,2,67349,12345,0.12457346340774425,0.12523080255570157,-0.0006573391479573198,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p1/lora_r4_lr4e-4/seed_2/lora_sst2_roberta-large_lr0.001_seed2.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p1/unilora_td23040/seed_2/unilora_sst2_roberta-large_lr0.001_seed2.json
sst2,1.0,3,67349,12345,0.1272609079522746,0.11591172467784158,0.011349183274433017,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p1/lora_r4_lr4e-4/seed_3/lora_sst2_roberta-large_lr0.001_seed3.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p1/unilora_td23040/seed_3/unilora_sst2_roberta-large_lr0.001_seed3.json
sst2,1.0,4,67349,12345,0.12221059933238264,0.1294882442868714,-0.007277644954488752,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p1/lora_r4_lr4e-4/seed_4/lora_sst2_roberta-large_lr0.001_seed4.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/sst2/p1/unilora_td23040/seed_4/unilora_sst2_roberta-large_lr0.001_seed4.json
qnli,0.01,0,1047,12345,0.6930940984285365,0.7022725061366433,-0.00917840770810674,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.01/lora_r4/seed_0/lora_qnli_roberta-large_lr0.0005_seed0_p0.01.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.01/unilora_td23040/seed_0/unilora_qnli_roberta-large_lr0.0005_seed0_p0.01.json
qnli,0.01,1,1047,12345,0.693096053182033,0.7647026564642699,-0.07160660328223689,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.01/lora_r4/seed_1/lora_qnli_roberta-large_lr0.0005_seed1_p0.01.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.01/unilora_td23040/seed_1/unilora_qnli_roberta-large_lr0.0005_seed1_p0.01.json
qnli,0.01,2,1047,12345,0.6931315524536267,0.7549993693066096,-0.061867816852982926,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.01/lora_r4/seed_2/lora_qnli_roberta-large_lr0.0005_seed2_p0.01.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.01/unilora_td23040/seed_2/unilora_qnli_roberta-large_lr0.0005_seed2_p0.01.json
qnli,0.01,3,1047,12345,0.7776549645081402,0.7933329765123931,-0.015678012004252895,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.01/lora_r4/seed_3/lora_qnli_roberta-large_lr0.0005_seed3_p0.01.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.01/unilora_td23040/seed_3/unilora_qnli_roberta-large_lr0.0005_seed3_p0.01.json
qnli,0.01,4,1047,12345,0.6930924423953944,0.7321875243725484,-0.039095081977154056,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.01/lora_r4/seed_4/lora_qnli_roberta-large_lr0.0005_seed4_p0.01.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.01/unilora_td23040/seed_4/unilora_qnli_roberta-large_lr0.0005_seed4_p0.01.json
qnli,0.02,0,2094,12345,0.4697925338674097,0.4402139260874767,0.029578607779932986,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.02/lora_r4/seed_0/lora_qnli_roberta-large_lr0.0005_seed0_p0.02.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.02/unilora_td23040/seed_0/unilora_qnli_roberta-large_lr0.0005_seed0_p0.02.json
qnli,0.02,1,2094,12345,0.5396031984345911,0.4938522029875053,0.04575099544708583,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.02/lora_r4/seed_1/lora_qnli_roberta-large_lr0.0005_seed1_p0.02.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.02/unilora_td23040/seed_1/unilora_qnli_roberta-large_lr0.0005_seed1_p0.02.json
qnli,0.02,2,2094,12345,0.676238592860101,0.5205041844757241,0.1557344083843769,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.02/lora_r4/seed_2/lora_qnli_roberta-large_lr0.0005_seed2_p0.02.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.02/unilora_td23040/seed_2/unilora_qnli_roberta-large_lr0.0005_seed2_p0.02.json
qnli,0.02,3,2094,12345,0.5225390179507565,0.5254808282615802,-0.0029418103108236338,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.02/lora_r4/seed_3/lora_qnli_roberta-large_lr0.0005_seed3_p0.02.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.02/unilora_td23040/seed_3/unilora_qnli_roberta-large_lr0.0005_seed3_p0.02.json
qnli,0.02,4,2094,12345,0.5883587571677932,0.4286374034501656,0.15972135371762758,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.02/lora_r4/seed_4/lora_qnli_roberta-large_lr0.0005_seed4_p0.02.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.02/unilora_td23040/seed_4/unilora_qnli_roberta-large_lr0.0005_seed4_p0.02.json
qnli,0.05,0,5237,12345,0.40095124725859654,0.25993618379995137,0.14101506345864517,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.05/lora_r4/seed_0/lora_qnli_roberta-large_lr0.0005_seed0_p0.05.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.05/unilora_td23040/seed_0/unilora_qnli_roberta-large_lr0.0005_seed0_p0.05.json
qnli,0.05,1,5237,12345,0.35086644518227256,0.28058060136629126,0.0702858438159813,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.05/lora_r4/seed_1/lora_qnli_roberta-large_lr0.0005_seed1_p0.05.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.05/unilora_td23040/seed_1/unilora_qnli_roberta-large_lr0.0005_seed1_p0.05.json
qnli,0.05,2,5237,12345,0.39924071221312846,0.2811953852181895,0.11804532699493897,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.05/lora_r4/seed_2/lora_qnli_roberta-large_lr0.0005_seed2_p0.05.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.05/unilora_td23040/seed_2/unilora_qnli_roberta-large_lr0.0005_seed2_p0.05.json
qnli,0.05,3,5237,12345,0.3776872570732641,0.24098305467363687,0.13670420239962724,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.05/lora_r4/seed_3/lora_qnli_roberta-large_lr0.0005_seed3_p0.05.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.05/unilora_td23040/seed_3/unilora_qnli_roberta-large_lr0.0005_seed3_p0.05.json
qnli,0.05,4,5237,12345,0.5048779265121802,0.23382261722234257,0.2710553092898377,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.05/lora_r4/seed_4/lora_qnli_roberta-large_lr0.0005_seed4_p0.05.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.05/unilora_td23040/seed_4/unilora_qnli_roberta-large_lr0.0005_seed4_p0.05.json
qnli,0.1,0,10474,12345,0.2407074323800877,0.22751928820160397,0.01318814417848374,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.1/lora_r4/seed_0/lora_qnli_roberta-large_lr0.0005_seed0_p0.1.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.1/unilora_td23040/seed_0/unilora_qnli_roberta-large_lr0.0005_seed0_p0.1.json
qnli,0.1,1,10474,12345,0.22472602298908068,0.2221776414553673,0.0025483815337133675,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.1/lora_r4/seed_1/lora_qnli_roberta-large_lr0.0005_seed1_p0.1.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.1/unilora_td23040/seed_1/unilora_qnli_roberta-large_lr0.0005_seed1_p0.1.json
qnli,0.1,2,10474,12345,0.2759347946957647,0.2398649054682917,0.036069889227473007,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.1/lora_r4/seed_2/lora_qnli_roberta-large_lr0.0005_seed2_p0.1.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.1/unilora_td23040/seed_2/unilora_qnli_roberta-large_lr0.0005_seed2_p0.1.json
qnli,0.1,3,10474,12345,0.23508119835839633,0.2167845565760345,0.018296641782361844,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.1/lora_r4/seed_3/lora_qnli_roberta-large_lr0.0005_seed3_p0.1.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.1/unilora_td23040/seed_3/unilora_qnli_roberta-large_lr0.0005_seed3_p0.1.json
qnli,0.1,4,10474,12345,0.2757573903086241,0.22081617968516393,0.05494121062346019,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.1/lora_r4/seed_4/lora_qnli_roberta-large_lr0.0005_seed4_p0.1.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.1/unilora_td23040/seed_4/unilora_qnli_roberta-large_lr0.0005_seed4_p0.1.json
qnli,0.25,0,26185,12345,0.177197124896168,0.1748523191979144,0.002344805698253599,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.25/lora_r4/seed_0/lora_qnli_roberta-large_lr0.0005_seed0_p0.25.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.25/unilora_td23040/seed_0/unilora_qnli_roberta-large_lr0.0005_seed0_p0.25.json
qnli,0.25,1,26185,12345,0.21350981470480648,0.17698739154253437,0.03652242316227211,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.25/lora_r4/seed_1/lora_qnli_roberta-large_lr0.0005_seed1_p0.25.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.25/unilora_td23040/seed_1/unilora_qnli_roberta-large_lr0.0005_seed1_p0.25.json
qnli,0.25,2,26185,12345,0.17883467204781653,0.1832495167666273,-0.004414844718810762,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.25/lora_r4/seed_2/lora_qnli_roberta-large_lr0.0005_seed2_p0.25.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.25/unilora_td23040/seed_2/unilora_qnli_roberta-large_lr0.0005_seed2_p0.25.json
qnli,0.25,3,26185,12345,0.20537394994314304,0.1827693625206226,0.022604587422520445,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.25/lora_r4/seed_3/lora_qnli_roberta-large_lr0.0005_seed3_p0.25.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.25/unilora_td23040/seed_3/unilora_qnli_roberta-large_lr0.0005_seed3_p0.25.json
qnli,0.25,4,26185,12345,0.18534775852764906,0.17708431970742014,0.008263438820228924,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.25/lora_r4/seed_4/lora_qnli_roberta-large_lr0.0005_seed4_p0.25.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.25/unilora_td23040/seed_4/unilora_qnli_roberta-large_lr0.0005_seed4_p0.25.json
qnli,0.5,0,52371,12345,0.16793544911806696,0.15655069126153898,0.011384757856527983,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.5/lora_r4/seed_0/lora_qnli_roberta-large_lr0.0005_seed0_p0.5.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.5/unilora_td23040/seed_0/unilora_qnli_roberta-large_lr0.0005_seed0_p0.5.json
qnli,0.5,1,52371,12345,0.17693000437136283,0.16090801225332488,0.016021992118037953,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.5/lora_r4/seed_1/lora_qnli_roberta-large_lr0.0005_seed1_p0.5.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.5/unilora_td23040/seed_1/unilora_qnli_roberta-large_lr0.0005_seed1_p0.5.json
qnli,0.5,2,52371,12345,0.1657626562975129,0.1569666889828374,0.008795967314675524,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.5/lora_r4/seed_2/lora_qnli_roberta-large_lr0.0005_seed2_p0.5.json,NLU/peft/examples/sequence_classification/results_theory_e1_crossover/roberta-large/qnli/p0.5/unilora_td23040/seed_2/unilora_qnli_roberta-large_lr0.0005_seed2_p0.5.json
